"URI","Title","RecordId","ParentType URI","From Date","To Date","Deity","Denomination","Issuer","Manufacture","Material","Mint","Object Type","Portrait","Region","State","Symbol_obv","Symbol_rev","Obverse Legend","Obverse Type","Reverse Legend","Reverse Type","Obverse Above","Reverse Above","Obverse Below","Reverse Below","Obverse Before","Reverse Before","Obverse Behind","Reverse Behind","Obverse Above or Behind","Obverse Behind or Before","Obverse Below or Behind","Obverse In Field","Reverse In Field","Obverse Left Field","Reverse Left Field","Obverse Right Field","Reverse Right Field","Obverse Exergue","Reverse Exergue","Obverse After Legend","Reverse Above, or Above and Below","Reverse Above, Below, or Both","Reverse Center","Reverse At Base","Date Record Modified"
"http://numismatics.org/crro/id/rrc-1.1","RRC 1/1","rrc-1.1","","-326","-242","Apollo","Uncertain value","Anonymous","Struck","Bronze","Neapolis","Coin","","Campania","","","","","Laureate head of Apollo, right.","ΡΩΜΑΙΩΝ","Forepart of man-headed bull walking right; flank of bull is decorated by star.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:23Z"
"http://numismatics.org/crro/id/rrc-2.1","RRC 2/1","rrc-2.1","","-300","-300","Minerva","Uncertain value","Anonymous","Struck","Bronze","Uncertain value","Coin","","","","","","","Head of Minerva, right, wearing Attic helmet decorated with sea-horse.","[R]OMANO","Man-headed bull, right; above, star.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:28Z"
"http://numismatics.org/crro/id/rrc-3.1","RRC 3/1","rrc-3.1","","-280","-242","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Two cornucopiae?","ROM[ANOM]","Branch.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:28Z"
"http://numismatics.org/crro/id/rrc-4.1","RRC 4/1","rrc-4.1","","-280","-250","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Eagle facing with outspread wings and head right, perched on thunderbolt.","ROMANOM","Pegasus flying left.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:34Z"
"http://numismatics.org/crro/id/rrc-5.1","RRC 5/1","rrc-5.1","","-280","-250","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Bull, right.","","Bull, left.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:45Z"
"http://numismatics.org/crro/id/rrc-6.1","RRC 6/1","rrc-6.1","","-280","-242","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Corn-ear with dot on either side of stem.","","Tripod.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:48Z"
"http://numismatics.org/crro/id/rrc-7.1","RRC 7/1","rrc-7.1","","-280","-250","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Oval shield, seen from outside.","","Oval shield, seen from inside.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:49Z"
"http://numismatics.org/crro/id/rrc-8.1","RRC 8/1","rrc-8.1","","-280","-250","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Sword.","","Scabbard.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:58Z"
"http://numismatics.org/crro/id/rrc-9.1","RRC 9/1","rrc-9.1","","-280","-250","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Elephant, right.","","Sow, left.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:03Z"
"http://numismatics.org/crro/id/rrc-10.1","RRC 10/1","rrc-10.1","","-280","-250","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Anchor.","","Tripod.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:04Z"
"http://numismatics.org/crro/id/rrc-11.1","RRC 11/1","rrc-11.1","","-260","-242","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Trident tied with fillet.","","Caduceus tied with fillet.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:05Z"
"http://numismatics.org/crro/id/rrc-12.1","RRC 12/1","rrc-12.1","","-280","-250","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Two chickens facing each other. Between them, two stars.","","Two tridents with handles outwards; between, two dolphins.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:06Z"
"http://numismatics.org/crro/id/rrc-13.1","RRC 13/1","rrc-13.1","","-280","-276","Mars","Didrachm","Anonymous","Struck","Silver","Metapontum","Coin","","Lucania","","","","","Head of Mars, left, wearing Corinthian helmet; behind, oak-spray.","ROMANO","Horse's head, right, on base with inscription; behind, corn ear.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:07Z"
"http://numismatics.org/crro/id/rrc-13.2","RRC 13/2","rrc-13.2","","-280","-276","Mars","Litra","Anonymous","Struck","Silver","Metapontum","Coin","","Lucania","","","","","Head of Mars, right, wearing Corinthian helmet. Border of dots.","ROMANO","Horse's head, right; behind, corn ear.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:08Z"
"http://numismatics.org/crro/id/rrc-14.1","RRC 14/1","rrc-14.1","","-280","-276","Dioscuri||Mercury","As","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","I","I","","Janiform head of Dioscuri, hair tied with band.","","Head of Mercury, left.","I","I","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:08Z"
"http://numismatics.org/crro/id/rrc-14.2","RRC 14/2","rrc-14.2","","-280","-276","Minerva","Semis","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","S","S","","Head of Minerva, left, wearing Corinthian helmet.","","Female head, left.","","","S","S","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:10Z"
"http://numismatics.org/crro/id/rrc-14.3","RRC 14/3","rrc-14.3","","-280","-276","","Triens","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","Two pellets","Four pellets","","Thunderbolt.","","Dolphin, right.","","","","Four pellets","","","","","","","","","","Two pellets","","Two pellets","","","","","","","","","2025-05-27T04:00:11Z"
"http://numismatics.org/crro/id/rrc-14.4","RRC 14/4","rrc-14.4","","-280","-276","","Quadrans","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","Three pellets","Three pellets","","Right hand.","","Two grains of barley.","","","","","","","","","","","","","","Three pellets","","","","","","","","","Three pellets","","2025-05-27T04:00:15Z"
"http://numismatics.org/crro/id/rrc-14.5","RRC 14/5","rrc-14.5","","-280","-276","","Sextans","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","Two pellets","One pellet","","Scallop shell, seen from outside.","","Caduceus.","","","Two pellets","","","","","","","","","","","","One pellet","","One pellet","","","","","","","","2025-05-27T04:00:16Z"
"http://numismatics.org/crro/id/rrc-14.6","RRC 14/6","rrc-14.6","","-280","-276","","Uncia","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","One pellet","","","Knucklebone, seen from outside.","","Denominational mark.","","","One pellet","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:16Z"
"http://numismatics.org/crro/id/rrc-14.7","RRC 14/7","rrc-14.7","","-280","-276","","Semuncia","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","","","","Acorn.","Ancient Greek Σ","Denominational mark.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:16Z"
"http://numismatics.org/crro/id/rrc-15.1","RRC 15/1","rrc-15.1","","-275","-270","Apollo","Didrachm","Anonymous","Struck","Silver","Uncertain value","Coin","","","","","Eight-rayed star||Sixteen-rayed star","ROMANO","Laureate head of Apollo, left. Border of dots.","","Horse galloping right. Line border.","","Eight-rayed star||Sixteen-rayed star","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:17Z"
"http://numismatics.org/crro/id/rrc-16.1","RRC 16/1","rrc-16.1","","-275","-270","","Double-litra","Anonymous","Struck","Bronze","Italy (South)","Coin","","","","","","","Female head, right; hair bound with ribbon. Border of dots. | Female head, left; hair bound with ribbon. Border of dots.","ROMANO","Lion walking right, usually holding spear in mouth.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:20Z"
"http://numismatics.org/crro/id/rrc-3.1a","RRC 3/1a","rrc-3.1a","http://numismatics.org/crro/id/rrc-3.1","-280","-242","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Two cornucopiae?","ROM[ANOM]","Branch.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:30Z"
"http://numismatics.org/crro/id/rrc-3.1b","RRC 3/1b","rrc-3.1b","http://numismatics.org/crro/id/rrc-3.1","-280","-242","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Two cornucopiae?","","Branch.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:33Z"
"http://numismatics.org/crro/id/rrc-17.1","RRC 17/1","rrc-17.1","","-269","-269","Minerva","Litra","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","","","","Helmeted head of Minerva, left. Usually border of dots. | Helmeted head of Minerva, right. Usually border of dots. | Helmeted head of Minerva, right; usually star behind. Usually border of dots.","ROAMOC | ROMAMO","Horse's head, right, with bridle, usually on base. | Horse's head, left, with bridle, usually on base.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:24Z"
"http://numismatics.org/crro/id/rrc-4.1a","RRC 4/1a","rrc-4.1a","http://numismatics.org/crro/id/rrc-4.1","-280","-250","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Eagle facing with outspread wings and head right, perched on thunderbolt.","ROMANOM","Pegasus flying left.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:38Z"
"http://numismatics.org/crro/id/rrc-4.1b","RRC 4/1b","rrc-4.1b","http://numismatics.org/crro/id/rrc-4.1","-280","-242","","","Anonymous","Struck","Bronze","Rome","Ingot","","Latium","","","","","Eagle facing with outspread wings and head right, perched on thunderbolt.","","Pegasus flying left.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T03:59:42Z"
"http://numismatics.org/crro/id/rrc-18.1","RRC 18/1","rrc-18.1","","-275","-270","Apollo","As","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","I","I","","Head of Apollo, right, with hair tied back with band.","","Head of Apollo, left, with hair tied back with band.","I","I","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:29Z"
"http://numismatics.org/crro/id/rrc-18.2","RRC 18/2","rrc-18.2","","-275","-270","","Semis","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","S","S","","Pegasus, right.","","Pegasus, left.","","","S","S","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:31Z"
"http://numismatics.org/crro/id/rrc-18.3","RRC 18/3","rrc-18.3","","-275","-270","","Triens","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","Four pellets","Four pellets","","Horse's head, right.","","Horse's head, left.","","","Four pellets","Four pellets","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:31Z"
"http://numismatics.org/crro/id/rrc-18.4","RRC 18/4","rrc-18.4","","-275","-270","","Quadrans","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","Three pellets","Three pellets","","Boar, right.","","Boar, left.","","","Three pellets","Three pellets","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:31Z"
"http://numismatics.org/crro/id/rrc-18.5","RRC 18/5","rrc-18.5","","-275","-270","Dioscuri","Sextans","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","Two pellets","Two pellets","","Head of one of the Dioscuri, right.","","Head of one of the Dioscuri, left.","","","","","","","Two pellets","Two pellets","","","","","","","","","","","","","","","","","2025-05-27T04:00:31Z"
"http://numismatics.org/crro/id/rrc-18.6","RRC 18/6","rrc-18.6","","-275","-270","","Uncia","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","One pellet","One pellet","","Barley-grain.","","Barley grain.","","","","","","","","","","","","One pellet","One pellet","","","","","","","","","","","","2025-05-27T04:00:31Z"
"http://numismatics.org/crro/id/rrc-19.1","RRC 19/1","rrc-19.1","","-275","-270","Dioscuri||Apollo","As","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","","","","Head of one of the Dioscuri, left.","","Head of Apollo, left, with hair tied back with band.","","","","","","","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:33Z"
"http://numismatics.org/crro/id/rrc-19.2","RRC 19/2","rrc-19.2","","-275","-270","Roma","Semis","Anonymous","Struck","Bronze","Rome","Coin","","Latium","","S","S","","Head of Roma, left, wearing Phrygian helmet.","","Female head, left, with upstanding curls of hair in front.","","","","","S","S","","","","","","","","","","","","","","","","","","","2025-05-27T04:00:33Z"
